N_MEMB;READ_TSP;BUILD_ALL_EDGES;SORT_EDGES;BUILD_MST;BUILD_TOUR;
280.000000;0.000136;0.000411;0.003021;0.000709;0.000009;
52.000000;0.000117;0.000013;0.000099;0.000162;0.000002;
18512.000000;0.008869;1.986785;28.476816;0.347433;0.001619;
101.000000;0.000201;0.000109;0.000500;0.000309;0.000004;
1002.000000;0.000373;0.006717;0.058813;0.005461;0.000051;
225.000000;0.000215;0.000280;0.002238;0.000624;0.000005;
1000.000000;0.000270;0.005506;0.069304;0.003147;0.000036;
10000.000000;0.002152;0.587782;9.439035;0.055344;0.002852;
10500.000000;0.004222;0.960481;8.952307;0.035555;0.001301;
11000.000000;0.002259;0.656905;9.274887;0.031699;0.000914;
11500.000000;0.002094;0.710398;10.397668;0.032857;0.000995;
12000.000000;0.002246;0.788615;11.929963;0.038718;0.000957;
12500.000000;0.002314;0.860547;12.012631;0.037640;0.001047;
13000.000000;0.002423;0.903866;13.204646;0.037809;0.001079;
13500.000000;0.002525;1.013585;14.337960;0.055069;0.001151;
14000.000000;0.002699;1.085019;15.430082;0.050851;0.001457;
14500.000000;0.002704;1.135025;16.611975;0.056549;0.001338;
1500.000000;0.000463;0.011515;0.157408;0.004489;0.000068;
2000.000000;0.000567;0.021031;0.280860;0.006184;0.000111;
2500.000000;0.000702;0.034476;0.432796;0.006848;0.000114;
3000.000000;0.000590;0.052726;0.640564;0.008606;0.000203;
3500.000000;0.000735;0.072372;1.029921;0.013453;0.000221;
4000.000000;0.000857;0.102500;1.332506;0.017322;0.000283;
4500.000000;0.000945;0.134237;1.680537;0.014776;0.000274;
500.000000;0.000194;0.001558;0.013998;0.001531;0.000016;
5000.000000;0.001164;0.156948;1.950509;0.014901;0.000345;
5500.000000;0.001246;0.164001;2.350376;0.016549;0.000322;
6000.000000;0.001098;0.207071;2.682784;0.020445;0.000557;
6500.000000;0.001325;0.240207;3.321936;0.020987;0.000471;
7000.000000;0.001329;0.257059;3.803421;0.024040;0.002486;
7500.000000;0.001465;0.325932;4.383692;0.022963;0.000571;
8000.000000;0.001514;0.349969;5.333806;0.024511;0.000798;
8500.000000;0.001761;0.432588;5.750371;0.024478;0.000874;
9000.000000;0.001750;0.434431;6.324457;0.043529;0.000638;
9500.000000;0.002170;0.519531;7.216463;0.029621;0.000741;
